year,count
1869,1
1921,1
1925,1
1930,1
1937,1
1938,1
1941,1
1942,1
1944,2
1947,1
1948,1
1949,2
1950,3
1952,1
1953,3
1954,1
1955,3
1956,4
1957,4
1958,5
1959,1
1960,6
1961,9
1962,6
1963,10
1964,8
1965,8
1966,6
1967,13
1968,12
1969,18
1970,28
1971,22
1972,32
1973,31
1974,35
1975,46
1976,41
1977,66
1978,81
1979,46
1980,72
1981,43
1982,51
1983,45
1984,35
1985,31
1986,49
1987,35
1988,35
1989,31
1990,39
1991,42
1992,30
1993,43
1994,60
1995,46
1996,51
1997,80
1998,79
1999,64
2000,145
2001,131
2002,104
2003,152
2004,241
2005,209
2006,176
2007,145
2008,142
2009,119
2010,99
2011,122
2012,141
2013,122
2014,100
2015,76
2016,58
2017,60
2018,51
2019,34
2020,66
2021,52
2022,33
2023,2
